subject,session,stim,big_small,onset,opt,response_time,correct,sequence
o01,rep1,stim/wheelchair.bmp,B,30000,3,1087,True,1
o01,rep1,stim/rooster.bmp,B,33001,3,1035,True,1
o01,rep1,stim/wheelchair.bmp,B,36001,3,917,True,2
o01,rep1,stim/egg.bmp,S,39001,4,982,True,1
o01,rep1,stim/spinach.bmp,S,42001,,0,,1
o01,rep1,stim/spoon.bmp,S,45001,,0,,1
o01,rep1,stim/faint.bmp,S,52001,,0,,1
o01,rep1,stim/shell.bmp,S,63001,,0,,1
o01,rep1,stim/oldradio.bmp,B,74001,3,1081,True,1
o01,rep1,stim/car.bmp,B,77001,3,821,True,1
o01,rep1,stim/rooster.bmp,B,80001,3,846,True,2
o01,rep1,stim/screw.bmp,S,83001,,0,,1
o01,rep1,stim/toilett.bmp,B,90001,3,853,True,1
o01,rep1,stim/spinach.bmp,S,93001,,0,,2
o01,rep1,stim/shell.bmp,S,96001,,0,,2
o01,rep1,stim/spoon.bmp,S,99001,,0,,2
o01,rep1,stim/rat.bmp,S,102001,,0,,1
o01,rep1,stim/playcard.bmp,S,105001,4,802,True,1
o01,rep1,stim/envelope.bmp,S,108001,,0,,1
o01,rep1,stim/tunafish.bmp,B,111001,3,920,True,1
o01,rep1,stim/screw.bmp,S,114001,4,708,True,2
o01,rep1,stim/statue.bmp,B,117001,3,806,True,1
o01,rep1,stim/rooster.bmp,B,120001,3,891,True,3
o01,rep1,stim/zebra.bmp,B,123001,3,724,True,1
o01,rep1,stim/statue.bmp,B,126001,3,590,True,2
o01,rep1,stim/lettuce.bmp,S,129001,4,1031,True,1
o01,rep1,stim/chicken.bmp,B,132001,3,810,True,1
o01,rep1,stim/penguin.bmp,B,135001,3,670,True,1
o01,rep1,stim/rat.bmp,S,142001,3,616,False,2
o01,rep1,stim/wheelchair.bmp,B,149001,3,700,True,3
o01,rep1,stim/spoon.bmp,S,156001,4,1032,True,3
o01,rep1,stim/chicken.bmp,B,167001,3,1061,True,2
o01,rep1,stim/telephone_booth.bmp,B,178001,3,947,True,1
o01,rep1,stim/screw.bmp,S,189001,4,734,True,3
o01,rep1,stim/telephone_booth.bmp,B,200001,3,772,True,2
o01,rep1,stim/chicken.bmp,B,211001,3,991,True,3
o01,rep1,stim/stapler.bmp,S,222001,4,1035,True,1
o01,rep1,stim/shell.bmp,S,225001,,0,,3
o01,rep1,stim/zebra.bmp,B,228001,3,729,True,2
o01,rep1,stim/broccoli.bmp,S,231001,4,949,True,1
o01,rep1,stim/spinach.bmp,S,234001,,0,,3
o01,rep1,stim/stapler.bmp,S,237001,,0,,2
o01,rep1,stim/zebra.bmp,B,240001,3,637,True,3
o01,rep1,stim/telephone_booth.bmp,B,243001,3,992,True,3
o01,rep1,stim/rat.bmp,S,246001,4,1050,True,3
o01,rep1,stim/statue.bmp,B,249001,3,900,True,3
o01,rep1,stim/stapler.bmp,S,256001,4,681,True,3
o01,rep1,stim/tree.bmp,B,263001,3,972,True,1
o01,rep2,stim/acorn.bmp,S,29998,4,810,True,1
o01,rep2,stim/acorn.bmp,S,36999,,0,,2
o01,rep2,stim/goat.bmp,B,39999,3,1118,True,1
o01,rep2,stim/eggplant.bmp,S,42999,,0,,1
o01,rep2,stim/bowl.bmp,S,45999,4,925,True,1
o01,rep2,stim/guitar.bmp,B,56999,3,1105,True,1
o01,rep2,stim/pen.bmp,S,67999,4,1262,True,1
o01,rep2,stim/gaspum.bmp,B,70999,3,735,True,1
o01,rep2,stim/guitar.bmp,B,73999,4,955,False,2
o01,rep2,stim/barrel.bmp,B,76999,3,670,True,1
o01,rep2,stim/bigplant.bmp,B,83999,3,793,True,1
o01,rep2,stim/pen.bmp,S,86999,4,876,True,2
o01,rep2,stim/barrel.bmp,B,89999,3,1004,True,2
o01,rep2,stim/cat.bmp,B,96999,3,794,True,1
o01,rep2,stim/cat.bmp,B,103999,3,685,True,2
o01,rep2,stim/dolphin.bmp,B,110999,3,1033,True,1
o01,rep2,stim/orange.bmp,S,113999,4,1115,True,1
o01,rep2,stim/lock.bmp,S,116999,4,807,True,1
o01,rep2,stim/dolphin.bmp,B,119999,3,720,True,2
o01,rep2,stim/bird.bmp,S,122999,4,1203,True,1
o01,rep2,stim/octopus.bmp,B,125999,3,1302,True,1
o01,rep2,stim/bird.bmp,S,128999,4,786,True,2
o01,rep2,stim/corn.bmp,S,131999,,0,,1
o01,rep2,stim/crip.bmp,B,134999,3,863,True,1
o01,rep2,stim/goat.bmp,B,137999,3,746,True,2
o01,rep2,stim/bowl.bmp,S,148999,4,965,True,2
o01,rep2,stim/dolphin.bmp,B,159999,3,667,True,3
o01,rep2,stim/baby.bmp,B,170999,3,783,True,1
o01,rep2,stim/barrel.bmp,B,173999,3,642,True,3
o01,rep2,stim/guitar.bmp,B,176999,3,604,True,3
o01,rep2,stim/bowl.bmp,S,179999,4,871,True,3
o01,rep2,stim/hose.bmp,B,182999,3,1121,True,1
o01,rep2,stim/cruiseship.bmp,B,185999,3,862,True,1
o01,rep2,stim/gaspum.bmp,B,188999,3,639,True,2
o01,rep2,stim/comb.bmp,S,195999,3,1091,False,1
o01,rep2,stim/acorn.bmp,S,202999,4,1087,True,3
o01,rep2,stim/cat.bmp,B,209999,3,754,True,3
o01,rep2,stim/pen.bmp,S,212999,4,684,True,3
o01,rep2,stim/Iron.bmp,S,215999,3,1168,False,1
o01,rep2,stim/goat.bmp,B,218999,3,882,True,3
o01,rep2,stim/eggplant.bmp,S,229999,4,1127,True,2
o01,rep2,stim/Iron.bmp,S,240999,3,1323,False,2
o01,rep2,stim/crab.bmp,S,251999,4,1295,True,1
o01,rep2,stim/gaspum.bmp,B,254999,3,914,True,3
o01,rep2,stim/razor.bmp,S,257999,4,765,True,1
o01,rep2,stim/eggplant.bmp,S,260999,,0,,3
o01,rep2,stim/bird.bmp,S,263999,,0,,3
o01,rep2,stim/Iron.bmp,S,266999,3,837,False,3
o02,rep1,stim/spinach.bmp,S,30000,3,1281,False,1
o02,rep1,stim/astronaut.bmp,B,33001,3,1124,True,1
o02,rep1,stim/apricot.bmp,S,36001,4,830,True,1
o02,rep1,stim/apricot.bmp,S,39001,4,513,True,2
o02,rep1,stim/zebra.bmp,B,42001,3,652,True,1
o02,rep1,stim/jet.bmp,B,45001,3,1002,True,1
o02,rep1,stim/sofa.bmp,B,52001,3,747,True,1
o02,rep1,stim/jet.bmp,B,63001,3,618,True,2
o02,rep1,stim/crisantemo.bmp,S,74001,4,773,True,1
o02,rep1,stim/toothbrush.bmp,S,77001,4,887,True,1
o02,rep1,stim/toothbrush.bmp,S,80001,4,553,True,2
o02,rep1,stim/swan.bmp,B,83001,3,1115,True,1
o02,rep1,stim/telephone_booth.bmp,B,90001,3,752,True,1
o02,rep1,stim/astronaut.bmp,B,93001,3,882,True,2
o02,rep1,stim/stethoscope.bmp,S,96001,4,933,True,1
o02,rep1,stim/jet.bmp,B,99001,3,623,True,3
o02,rep1,stim/stethoscope.bmp,S,102001,4,754,True,2
o02,rep1,stim/barbacue.bmp,B,105001,3,711,True,1
o02,rep1,stim/rat.bmp,S,108001,4,743,True,1
o02,rep1,stim/sofa.bmp,B,111001,3,587,True,2
o02,rep1,stim/tiger.bmp,B,114001,3,958,True,1
o02,rep1,stim/tiger.bmp,B,117001,3,481,True,2
o02,rep1,stim/tiger.bmp,B,120001,3,467,True,3
o02,rep1,stim/stapler.bmp,S,123001,4,957,True,1
o02,rep1,stim/chicken.bmp,B,126001,3,1004,True,1
o02,rep1,stim/shell.bmp,S,129001,4,754,True,1
