age_group,subject_id,repetition,accuracy
old,1,rep1,0.7083333333333334
old,1,rep2,0.7916666666666666
old,2,rep1,0.9791666666666666
old,2,rep2,0.9791666666666666
old,3,rep1,1.0
old,3,rep2,0.8958333333333334
old,4,rep1,0.9375
old,4,rep2,0.8333333333333334
old,5,rep1,0.6875
old,5,rep2,0.9166666666666666
old,6,rep1,0.8333333333333334
old,6,rep2,0.9375
old,7,rep1,0.9583333333333334
old,7,rep2,0.9375
old,8,rep1,0.9791666666666666
old,8,rep2,0.9166666666666666
old,9,rep1,0.7916666666666666
old,9,rep2,0.875
old,10,rep1,0.9791666666666666
old,10,rep2,0.9166666666666666
old,11,rep1,0.9375
old,11,rep2,0.9375
old,13,rep1,0.9375
old,13,rep2,1.0
old,14,rep1,0.9583333333333334
old,14,rep2,0.9375
old,15,rep1,0.7291666666666666
old,15,rep2,0.6875
old,16,rep1,0.9375
old,16,rep2,0.9583333333333334
old,17,rep1,0.9583333333333334
old,17,rep2,0.8125
old,18,rep1,0.9791666666666666
old,18,rep2,0.7708333333333334
young,101,rep1,0.9375
young,101,rep2,1.0
young,102,rep1,0.9583333333333334
young,102,rep2,1.0
young,103,rep1,0.875
young,103,rep2,0.8541666666666666
young,104,rep1,0.875
young,104,rep2,0.9375
young,105,rep1,0.7708333333333334
young,105,rep2,0.6666666666666666
young,106,rep1,0.9583333333333334
young,106,rep2,0.9583333333333334
young,107,rep1,0.9791666666666666
young,107,rep2,0.875
young,108,rep1,1.0
young,108,rep2,0.9375
young,109,rep1,0.8541666666666666
young,109,rep2,0.9375
young,110,rep1,0.9375
young,110,rep2,0.9166666666666666
young,111,rep1,0.9375
young,111,rep2,0.9375
young,112,rep1,0.9791666666666666
young,112,rep2,0.9166666666666666
young,113,rep1,0.9791666666666666
young,113,rep2,0.875
young,114,rep1,0.9583333333333334
young,114,rep2,0.9791666666666666
young,115,rep1,0.8958333333333334
young,115,rep2,0.8541666666666666
young,116,rep1,0.8958333333333334
young,116,rep2,0.9583333333333334
young,117,rep1,0.8958333333333334
young,117,rep2,0.9375
young,118,rep1,0.875
young,118,rep2,0.9583333333333334
young,119,rep1,0.8958333333333334
young,119,rep2,0.8958333333333334
