subject,rep,total,unique,correct,incorrect,accuracy,p31,p32,p33,p31_mean_rt,p32_mean_rt,p33_mean_rt,p31_std_rt,p32_std_rt,p33_std_rt,dummy_p3_,mean_rt,std_rt,mean_acc,std_acc
o01,rep1,48,24,34,1,0.7083333333333334,7,7,10,920.5714285714286,803.2857142857143,860.8,140.58076817599334,153.96938471193363,158.4892565584319,12,,,0,0
o01,rep2,48,24,38,5,0.7916666666666666,10,9,9,965.5,838.6666666666666,789.4444444444445,207.4379425273978,164.60103280356415,159.20435853888478,8,965.5,207.4379425273978,0,0
o02,rep1,48,24,47,1,0.9791666666666666,12,12,12,891.0,644.75,666.6666666666666,137.89587639691308,112.03986709284253,98.72121751618943,0,,,0,0
o02,rep2,48,24,47,1,0.9791666666666666,12,12,12,807.5,648.5,711.3333333333334,150.3187522324719,87.06058496555978,96.5027868964823,0,807.5,150.3187522324719,0,0
o03,rep1,48,24,48,0,1.0,12,12,12,775.5833333333334,667.0,722.0,182.4043751136635,111.94966401346309,107.33126291998991,0,,,0,0
o03,rep2,48,24,43,0,0.8958333333333334,11,9,11,753.4545454545455,796.6666666666666,707.2727272727273,104.45512303028859,240.29877236473763,161.50547415434,5,753.4545454545455,104.45512303028859,0,0
o04,rep1,48,24,45,3,0.9375,12,11,12,1058.9166666666667,1169.090909090909,1120.9166666666667,176.03690642658552,442.21272133339954,446.4739549226164,1,,,0,0
o04,rep2,48,24,40,8,0.8333333333333334,10,10,9,1181.5,1097.5,984.3333333333334,365.6134114972626,214.620207187798,123.36328465147156,7,1181.5,365.6134114972626,0,0
o05,rep1,48,24,33,1,0.6875,7,9,10,1126.4285714285713,755.8888888888889,841.2,267.79523094014525,171.889822593169,142.08119744240145,10,,,0,0
o05,rep2,48,24,44,2,0.9166666666666666,10,11,12,849.4,883.0909090909091,926.6666666666666,150.6469013584046,208.75270275876886,241.2939864124008,3,849.4,150.6469013584046,0,0
o06,rep1,48,24,40,3,0.8333333333333334,11,10,11,937.0,836.9,832.7272727272727,100.90391469115556,202.41236786981835,179.41744113050487,4,,,0,0
o06,rep2,48,24,45,3,0.9375,12,12,11,843.3333333333334,766.6666666666666,771.5454545454545,100.97014260151215,87.02594527791784,87.9992768565329,1,843.3333333333334,100.97014260151215,0,0
o07,rep1,48,24,46,2,0.9583333333333334,11,12,12,916.6363636363636,737.9166666666666,788.6666666666666,179.8523131501359,102.28165954259775,115.46454263565333,1,,,0,0
o07,rep2,48,24,45,2,0.9375,12,11,11,960.3333333333334,727.0909090909091,685.3636363636364,225.43143820978773,65.44838354834219,60.95945000944928,2,960.3333333333334,225.43143820978773,0,0
o08,rep1,48,24,47,1,0.9791666666666666,12,12,11,1178.8333333333333,1018.4166666666666,867.7272727272727,458.50663390329845,408.42479186021586,375.00669084940097,1,,,0,0
o08,rep2,48,24,44,2,0.9166666666666666,11,10,12,1212.1818181818182,1010.8,1025.6666666666667,706.460022673869,301.7176015931306,524.53916282136,3,1212.1818181818182,706.460022673869,0,0
o09,rep1,48,24,38,2,0.7916666666666666,6,10,11,879.3333333333334,915.7,706.0909090909091,315.9770033826302,551.3172206432316,141.6738892989492,9,,,0,0
o09,rep2,48,24,42,4,0.875,11,11,11,806.2727272727273,788.2727272727273,679.6363636363636,232.8630889209756,120.56706922629488,130.13782903312375,3,806.2727272727273,232.8630889209756,0,0
o10,rep1,48,24,47,1,0.9791666666666666,12,12,12,1011.8333333333334,855.5,826.8333333333334,275.91396331377496,493.3412059158909,331.36654610685713,0,,,0,0
o10,rep2,48,24,44,4,0.9166666666666666,10,11,11,1065.5,931.1818181818181,815.0909090909091,229.12017710266278,683.0522407813064,197.96638833168348,4,1065.5,229.12017710266278,0,0
o11,rep1,48,24,45,3,0.9375,11,11,12,1080.2727272727273,1087.4545454545455,1102.3333333333333,417.3912052042043,570.2912174733824,549.0170279414809,2,,,0,0
o11,rep2,48,24,45,3,0.9375,11,11,11,1019.8181818181819,873.3636363636364,813.8181818181819,308.6486086739476,243.22922222762327,153.54922219393896,3,1019.8181818181819,308.6486086739476,0,0
o12,rep1,48,24,15,33,0.3125,4,3,3,937.25,679.0,734.0,168.10388653052215,103.28601066940286,82.0182906430023,26,,,0,0
o12,rep2,48,24,20,28,0.4166666666666667,5,5,4,930.6,857.8,761.25,199.39107301983205,251.30698358780245,73.85740766278401,22,930.6,199.39107301983205,0,0
